"Ano","Quantidade de Contribuintes","Número Médio Mensal Contrib","Valor  das Remunerações R$","Faixa de Idade","Estatística Pessoa Física","Sexo"
"2008","2156","991,50","10805435,17","55 a 59 anos","Quantidade de Contribuintes","Ignorado"
"2008","690496","520640,67","9765820275,05","60 a 64 anos","Quantidade de Contribuintes","Masculino"
"2008","428920","315521,08","3359634138,46","60 a 64 anos","Quantidade de Contribuintes","Feminino"
"2008","870","391,17","3737106,95","60 a 64 anos","Quantidade de Contribuintes","Ignorado"
"2008","248352","180227,17","3285999518,98","65 a 69 anos","Quantidade de Contribuintes","Masculino"
"2008","131280","97621,25","1039051317,48","65 a 69 anos","Quantidade de Contribuintes","Feminino"
"2008","261","134,42","1252205,62","65 a 69 anos","Quantidade de Contribuintes","Ignorado"
"2008","147693","111828,75","1938286268,29","70 anos e mais","Quantidade de Contribuintes","Masculino"
"2008","69432","51327,83","550970767,19","70 anos e mais","Quantidade de Contribuintes","Feminino"
"2008","265","148,92","1485445,14","70 anos e mais","Quantidade de Contribuintes","Ignorado"
"2008","25734","21767,42","299169928,90","Ignorada","Quantidade de Contribuintes","Masculino"
"2008","14507","12270,83","124444239,95","Ignorada","Quantidade de Contribuintes","Feminino"
"2008","1207961","658807,33","5627600903,90","Ignorada","Quantidade de Contribuintes","Ignorado"
"2009","887","326,25","1598715,21","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2009","539","197,91","900807,22","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2009","11215","7880,58","107272299,42","55 a 59 anos","Quantidade de Contribuintes","Masculino"
"2009","16249","11848,58","112090939,31","55 a 59 anos","Quantidade de Contribuintes","Feminino"
"2009","5974","4242,41","64368359,94","60 a 64 anos","Quantidade de Contribuintes","Masculino"
"2009","6732","4784,83","47579117,12","60 a 64 anos","Quantidade de Contribuintes","Feminino"
"2009","2582","1826,00","31984791,05","65 a 69 anos","Quantidade de Contribuintes","Masculino"
"2009","1931","1384,50","16283766,46","65 a 69 anos","Quantidade de Contribuintes","Feminino"
"2009","1047","767,25","14010960,42","70 anos e mais","Quantidade de Contribuintes","Masculino"
"2009","657","466,25","5177886,24","70 anos e mais","Quantidade de Contribuintes","Feminino"
"2009","46622","20482,33","149287222,38","Ignorada","Quantidade de Contribuintes","Ignorado"
"2009","171266","95260,00","986949797,34","Ignorada","Quantidade de Contribuintes","Ignorado"
"2009","450197","250699,33","1906790654,49","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2009","352294","191009,50","1383324887,51","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2009","2","1,50","10744,16","Até 19 anos","Quantidade de Contribuintes","Ignorado"
"2009","1171172","775166,75","8190049090,81","20 a 24 anos","Quantidade de Contribuintes","Masculino"
"2009","905399","600186,58","5545177221,83","20 a 24 anos","Quantidade de Contribuintes","Feminino"
"2009","710937","494639,58","6516712455,38","25 a 29 anos","Quantidade de Contribuintes","Masculino"
"2009","652573","459530,58","5207451481,21","25 a 29 anos","Quantidade de Contribuintes","Feminino"
"2009","4","2,91","31781,88","25 a 29 anos","Quantidade de Contribuintes","Ignorado"
"2009","230149","160084,66","2477537491,32","30 a 34 anos","Quantidade de Contribuintes","Masculino"
"2009","315444","223618,75","2569173240,41","30 a 34 anos","Quantidade de Contribuintes","Feminino"
"2009","1","1,00","7222,93","30 a 34 anos","Quantidade de Contribuintes","Ignorado"
"2009","86910","59644,75","815189239,76","35 a 39 anos","Quantidade de Contribuintes","Masculino"
"2009","159345","113407,83","1088056109,90","35 a 39 anos","Quantidade de Contribuintes","Feminino"
"2009","2","2,00","14505,10","35 a 39 anos","Quantidade de Contribuintes","Ignorado"
"2009","47049","32368,25","413346861,13","40 a 44 anos","Quantidade de Contribuintes","Masculino"
"2009","98841","71195,66","624548403,59","40 a 44 anos","Quantidade de Contribuintes","Feminino"
"2009","2","1,16","8236,32","40 a 44 anos","Quantidade de Contribuintes","Ignorado"
"2009","30311","20981,00","264209456,56","45 a 49 anos","Quantidade de Contribuintes","Masculino"
"2009","60598","43622,83","376634609,78","45 a 49 anos","Quantidade de Contribuintes","Feminino"
"2009","17827","12423,58","167102083,43","50 a 54 anos","Quantidade de Contribuintes","Masculino"
"2009","33020","23946,58","209896612,53","50 a 54 anos","Quantidade de Contribuintes","Feminino"
"2009","1","1,00","7249,59","50 a 54 anos","Quantidade de Contribuintes","Ignorado"
"2009","1","1,00","49890,37","Ignorada","Quantidade de Contribuintes","Masculino"
"2009","1","0,08","180,00","Ignorada","Quantidade de Contribuintes","Feminino"
"2009","3","2,16","20449,97","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2009","1","1,00","6215,57","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2009","985142","758047,08","20455002765,31","55 a 59 anos","Quantidade de Contribuintes","Masculino"
"2009","378501","295595,41","5336725203,37","55 a 59 anos","Quantidade de Contribuintes","Feminino"
"2009","27","18,50","514937,45","55 a 59 anos","Quantidade de Contribuintes","Ignorado"
"2009","480303","362261,00","8944471570,05","60 a 64 anos","Quantidade de Contribuintes","Masculino"
"2009","135574","99107,25","1886768978,32","60 a 64 anos","Quantidade de Contribuintes","Feminino"
"2009","12","7,25","352934,32","60 a 64 anos","Quantidade de Contribuintes","Ignorado"
"2009","156932","113843,75","2865400432,80","65 a 69 anos","Quantidade de Contribuintes","Masculino"
"2009","36322","26467,83","565623814,65","65 a 69 anos","Quantidade de Contribuintes","Feminino"
"2009","5","3,75","46365,18","65 a 69 anos","Quantidade de Contribuintes","Ignorado"
"2009","78301","58167,58","1464725313,65","70 anos e mais","Quantidade de Contribuintes","Masculino"
"2009","18310","13164,66","278498496,24","70 anos e mais","Quantidade de Contribuintes","Feminino"
"2009","8","6,58","150052,67","70 anos e mais","Quantidade de Contribuintes","Ignorado"
"2009","4963","1912,83","19198192,12","Ignorada","Quantidade de Contribuintes","Ignorado"
"2009","43","31,41","894587,38","Ignorada","Quantidade de Contribuintes","Masculino"
"2009","34","27,83","554531,49","Ignorada","Quantidade de Contribuintes","Feminino"
"2009","7952","4974,58","105121683,29","Ignorada","Quantidade de Contribuintes","Ignorado"
"2009","1","0,58","7389,38","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2009","2","1,83","7657,95","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2009","12","10,41","180804,71","20 a 24 anos","Quantidade de Contribuintes","Masculino"
